R‚fD‚tailCommande;R‚fCommande;R‚fProduit;Quantit‚;PrixUnitaire;Remise;FORFAIT;PrixUnitaire?;PrixUnitaireht;TVA
485;504;41;1;27.560,00;0;TRUE;0,00;27.560,00;0,140000001
486;505;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
487;506;41;1;0,00;0;TRUE;2.600,00;0,00;0,140000001
488;508;41;1;0,00;0;TRUE;2.600,00;0,00;0,140000001
489;509;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
490;511;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
491;512;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
492;513;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
493;514;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
494;515;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
495;516;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
496;517;41;1;28.620,00;0;TRUE;0,00;28.620,00;0,140000001
497;518;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
498;519;68;1;0,00;0;TRUE;2.000,00;0,00;0,140000001
499;520;41;1;0,00;0;TRUE;2.700,00;0,00;0,140000001
500;521;39;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
501;523;39;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
502;524;41;1;0,00;0;TRUE;2.600,00;0,00;0
503;525;41;1;0,00;0;TRUE;2.600,00;0,00;0
504;526;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
505;528;41;1;26.800,00;0;TRUE;0,00;26.800,00;0,140000001
506;534;48;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
507;535;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
508;536;68;1;42.400,00;0;TRUE;0,00;42.400,00;0,140000001
509;537;41;1;0,00;0;TRUE;2.600,00;0,00;0,140000001
510;538;41;1;27.560,00;0;TRUE;0,00;27.560,00;0,140000001
511;539;41;1;29.000,00;0;TRUE;0,00;29.000,00;0,140000001
512;540;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
513;541;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
514;542;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
515;543;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
516;545;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
517;546;69;1;25.000,00;0;TRUE;0,00;25.000,00;0,140000001
518;547;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
519;548;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
520;549;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
521;550;70;1;22.000,00;0;TRUE;0,00;22.000,00;0,140000001
522;551;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
523;552;41;1;29.000,00;0;TRUE;0,00;29.000,00;0,140000001
524;553;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
525;554;41;1;33.000,00;0;TRUE;0,00;33.000,00;0
526;555;41;1;33.000,00;0;TRUE;0,00;33.000,00;0,140000001
527;556;41;1;26.800,00;0;TRUE;0,00;26.800,00;0,140000001
528;557;32;1;13.000,00;0;TRUE;0,00;13.000,00;0,140000001
529;558;32;1;13.000,00;0;TRUE;0,00;13.000,00;0,140000001
530;560;61;1;35.200,00;0;TRUE;3.600,00;35.200,00;0,140000001
531;561;41;1;26.380,00;0;TRUE;0,00;26.380,00;0,140000001
532;562;41;1;0,00;0;TRUE;2.900,00;0,00;0,140000001
533;563;41;1;0,00;0;TRUE;2.900,00;0,00;0,140000001
534;565;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
535;566;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
536;567;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
537;568;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
538;569;41;1;32.860,00;0;TRUE;0,00;32.860,00;0,140000001
539;570;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
540;571;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
541;572;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
542;573;41;1;32.860,00;0;TRUE;0,00;32.860,00;0,140000001
543;574;21;1;11.000,00;0;TRUE;0,00;11.000,00;0,140000001
544;575;41;1;30.740,00;0;TRUE;0,00;30.740,00;0,140000001
545;576;21;1;12.000,00;0;TRUE;0,00;12.000,00;0,140000001
546;577;41;1;30.740,00;0;TRUE;0,00;30.740,00;0,140000001
547;578;21;1;12.000,00;0;TRUE;0,00;12.000,00;0,140000001
548;579;41;1;30.740,00;0;TRUE;0,00;30.740,00;0,140000001
549;580;35;1;12.000,00;0;TRUE;0,00;12.000,00;0,140000001
550;581;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
551;582;41;1;30.740,00;0;TRUE;0,00;30.740,00;0,140000001
552;583;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
553;584;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
554;585;35;1;8.000,00;0;TRUE;0,00;8.000,00;0
555;586;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
556;587;35;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
557;588;2;1;6.000,00;0;TRUE;0,00;6.000,00;0,140000001
558;589;41;1;32.860,00;0;TRUE;0,00;32.860,00;0,140000001
559;590;60;1;8.000,00;0;TRUE;0,00;8.000,00;0,140000001
560;591;41;1;0,00;0;TRUE;2.600,00;0,00;0,140000001
